algorithm,objective,K,psnr_mean,psnr_std,ssim_mean,ssim_std,uniformity_mean,uniformity_std,time_mean,time_std,n_runs
SHADE,tsallis,5,21.6009492543438,1.1162870850409539,0.3372861953314555,0.04443927011099472,0.9857056391618132,0.0036850864472852494,0.8195413831517928,0.18011997860217635,450
SHADE,tsallis,7,23.222166669485258,1.2194768889599141,0.39030942908443983,0.05828460833317514,0.9900984218318032,0.0027806307088396056,0.906110753254551,0.07233548529800359,450
SHADE,tsallis,9,24.925022043158073,1.7651314449013171,0.45681666658223674,0.08292649695231732,0.9931087403467354,0.0023637186499121266,1.0406512643355463,0.18928863011553695,450
SHADE,tsallis,11,29.16569153574578,3.705202036391962,0.6521412201820933,0.18172547059185898,0.9967968833575911,0.001944593633053891,1.127612156579271,0.09586532335491559,450
SHADE,tsallis,12,32.265912949355304,3.946680576026026,0.7805530768055936,0.1711707318756572,0.9982671831612635,0.0013756905182843596,1.1899791848193855,0.14367477970405781,450
StandardDE,kapur,3,23.90838149589134,3.25235032252689,0.6553367743570726,0.290544498239783,0.9884536055607059,0.012514907448537008,0.3556086997051413,0.06164318380856256,450
StandardDE,kapur,5,29.512791495508523,1.0644518954914493,0.9164068357440319,0.02528796202380505,0.9976916955505886,0.0006165431010831653,0.43862810611724856,0.07674376572628437,450
StandardDE,kapur,7,32.24615352334769,0.9505697365142421,0.9432560129918155,0.016278565957165446,0.9987803192418937,0.0002608621237943035,0.5280796190661688,0.14243832296247436,450
StandardDE,kapur,9,33.965357286944,1.0317995470606376,0.956824632641336,0.013475018992627128,0.9991757356668819,0.00019489854831707457,0.606212686973417,0.12256490669301363,450
StandardDE,kapur,11,35.26528028642656,1.0479055155969244,0.9654006679566254,0.011485603841306608,0.9993887457047872,0.00014571399983301608,0.6871017031604424,0.12416913177834402,450
StandardDE,kapur,12,35.8493534521187,1.053488941694864,0.9684891690032162,0.011165779292108899,0.9994651389446594,0.00013500728949058946,0.7012089497052754,0.07241869478872137,450
StandardDE,otsu,3,27.878245486759955,0.8904443662510988,0.8606596331586054,0.05376013987419315,0.9966758346871306,0.0006648701775530112,0.33519681482265395,0.05991543623631632,450
StandardDE,otsu,5,31.34667058879418,0.8978492159758447,0.9303451546076726,0.03311303701489836,0.9985056802409326,0.0002953253784082749,0.3951216082342176,0.06659871336531631,450
StandardDE,otsu,7,33.4754254578652,0.9436325749109145,0.9537822717912554,0.01866906170042977,0.9990830636238083,0.00018738229170410823,0.4591234049144097,0.07825152533583404,450
StandardDE,otsu,9,35.0446037537335,0.9443414083407705,0.9653541651425153,0.01185857952891434,0.9993613086871873,0.00012981380719889036,0.5300216176733374,0.14501173392709896,450
StandardDE,otsu,11,36.29407660758059,0.9601261315578593,0.9724011211971633,0.008809779386241435,0.9995207804726058,9.821554945502971e-05,0.5855215549857046,0.10236963142125424,450
StandardDE,otsu,12,36.870652606206804,0.9741197219990593,0.9749937125196613,0.008199156670846992,0.9995801707258573,8.743238822631764e-05,0.6177705839793716,0.10585421233833026,450
StandardDE,tsallis,3,19.221631554778167,1.6461823559896676,0.2676138800494225,0.03531926945285274,0.974174321658125,0.010928081791691446,0.34454683943030734,0.01671374344476964,450
StandardDE,tsallis,5,21.585529923860044,1.1622814842694256,0.33632050244731065,0.04817857554746813,0.9856177391571814,0.003838436913322122,0.40498124370454913,0.007612802301077535,450
StandardDE,tsallis,7,23.421922676182213,1.5519618633947319,0.3984343783615604,0.06382264063137758,0.990317164089161,0.003460848773047086,0.4681736993189487,0.009554526398420256,450
StandardDE,tsallis,9,26.186020518999918,2.6239952296717846,0.5270135270618698,0.1417345408767434,0.9943193886427523,0.0032432036787494365,0.531132868798967,0.010125759436092069,450
StandardDE,tsallis,11,30.851646984876872,3.5815804786528123,0.7514055657785105,0.18558264524550297,0.9976772588099965,0.002106696393409331,0.5966289936295814,0.01633210778978351,450
StandardDE,tsallis,12,32.91037065562892,3.323774930066115,0.8371078579756561,0.16140468855259169,0.9985619500379052,0.0014915449951316238,0.6339360257595157,0.04076927138216927,450
